,pdbid,-logKd/Ki
183,2e94,8.0
184,4rj8,7.77
185,3a29,7.89
186,4usj,4.0
187,3wtn,7.04
188,2gga,1.96
189,3sh0,5.66
190,4mg8,6.48
191,4o70,4.72
192,4yv2,7.29
193,3d62,6.1
194,3b7r,7.7
195,3rti,7.37
196,1uu9,5.4
197,1fki,7.0
198,3br9,7.21
199,1jd5,6.62
200,1w7g,5.1
201,2weh,5.95
202,3bkk,6.08
203,4b9w,4.17
204,3hmv,7.3
205,4cwf,4.49
206,2v54,4.6
207,4do4,7.29
208,4wmv,4.03
209,2yiv,2.78
210,2vey,7.37
211,4jlj,6.13
212,3lfn,5.5
213,2r03,5.15
214,4txe,5.62
215,1a4w,5.92
216,1aid,4.82
217,1xlz,6.02
218,4pms,8.1
219,2rjp,7.0
220,3gcs,7.25
221,4b95,4.28
222,3wci,6.57
223,1azx,9.4
224,1zh7,6.3
225,4r6t,7.52
226,1d6s,4.11
227,3sgx,5.49
228,4h2o,5.52
229,3jzg,4.4
230,4fiv,6.52
231,2fme,6.98
232,2vtj,5.72
233,4jzd,8.3
234,2kp8,4.0
235,3m2u,7.0
236,3n6k,6.74
237,4zsp,5.74
238,4jxw,4.72
239,3cjo,8.66
240,3te5,4.91
241,4nhc,7.34
242,3c2u,2.9
243,3met,6.0
244,1biw,6.98
245,2e9d,5.89
246,4g2f,6.8
247,4e28,5.89
248,1xfv,3.89
249,3qw7,5.74
250,4ogi,7.43
251,3old,5.9
252,2jjk,8.05
253,4u6c,5.0
254,4mx0,6.73
255,3ro0,4.5
256,4myd,4.55
257,2hm1,8.7
258,2psu,7.62
259,3lq4,5.22
260,2ggb,4.92
261,4xh6,5.57
262,2aod,5.66
263,3gxz,7.89
264,3l0v,7.64
265,4u79,6.4
266,2xjx,9.15
267,1ur9,5.77
268,5afx,5.92
269,4cj4,3.36
270,3eou,7.01
271,5cte,7.8
272,1o45,9.6
273,4gq4,7.66
274,4nnw,6.61
275,2vuk,3.9
276,2wl4,4.19
277,2xm1,5.07
278,3vva,9.32
279,4f63,6.3
280,2gm9,7.39
281,1ung,6.8
282,5c8n,7.55
283,1w96,8.41
284,4uwl,8.57
285,3v6s,9.12
286,3dp0,5.85
287,4ayx,3.7
288,3pka,6.27
289,4m5r,3.0
290,1bn1,9.34
291,4mbc,6.4
292,2y1g,6.15
293,1g54,8.82
294,2pr9,7.37
295,3lpg,6.16
296,3g2l,3.87
297,4heg,8.92
298,3oe6,8.09
299,1a5v,3.1
300,4kiq,7.64
301,3wz7,5.74
302,3nyd,3.48
303,4eny,7.05
304,4ph4,7.74
305,2fzk,3.6
306,3sl1,3.59
307,1i72,7.26
308,2f89,6.48
309,2hqu,5.14
310,4mmm,3.82
311,3fa3,5.6
312,3bu1,8.15
313,2o9a,3.81
314,3k1j,6.4
315,3v43,4.63
316,4k9g,5.82
317,2gh6,4.95
318,1oko,4.54
319,2qnx,5.62
320,1p03,8.19
321,4m2u,8.04
322,1i6v,5.0
323,4de7,4.8
324,1b74,1.3
325,3b3c,3.98
326,4g0q,2.52
327,3mpt,6.6
328,4hlc,6.76
329,1tl9,5.52
330,3ejt,7.36
331,1t7f,5.74
332,4ocx,11.44
333,1eb1,10.43
334,2ojf,6.96
335,4jmg,8.82
336,1owd,8.2
337,1e1v,4.92
338,3m37,9.04
339,3dpe,7.24
340,3r6u,4.52
341,2gss,4.94
342,4dhn,3.89
343,4a6b,8.38
344,4mg5,5.34
345,1gaf,8.0
346,3qgw,5.89
347,3ts4,8.72
348,1ew9,3.22
349,4ahv,1.82
350,2xl2,5.25
351,4k8a,4.02
352,5bvd,9.8
353,3at3,8.04
354,3tam,8.43
355,4av4,7.03
356,1k4g,5.85
357,4uvu,5.92
358,3hnb,5.11
359,2q6h,3.6
360,4os5,4.63
361,4mmp,7.71
362,3ekw,7.96
363,2h03,7.05
364,3ehn,1.92
365,4ww6,10.21
366,3c9e,8.0
367,4nkt,5.97
368,3zls,4.4
369,1l5q,3.97
370,2q9y,4.44
371,3k4d,5.11
372,1gux,6.96
373,2mnz,5.19
374,2xb9,6.77
375,2gz7,6.52
376,2x39,8.66
377,3e01,7.52
378,3od0,7.92
379,5cbs,5.41
380,2zyn,5.92
381,3uw9,4.56
382,1vjc,3.58
383,1h2k,2.92
384,4qer,7.54
385,3cso,5.77
386,5aoi,3.03
387,2qk5,8.1
388,3u3f,5.1
389,2os9,2.24
390,4e6d,8.92
391,2uw8,4.11
392,2p53,7.46
393,4gj9,3.3
394,1sve,8.3
395,2euk,6.6
396,4ofb,5.43
397,1q4k,6.55
398,1qsc,3.68
399,4hv3,3.94
400,4dzw,7.89
401,1f8a,5.0
402,4jfx,6.44
403,3mt8,4.55
404,4ymq,5.8
405,4nwd,5.4
406,1bxl,6.47
407,3vru,10.0
408,4b32,3.34
409,4gng,3.54
410,3rni,5.17
411,2jq9,4.48
412,4ido,4.93
413,3wp0,4.99
414,5cbr,5.74
415,4dmn,5.64
416,5ajy,6.3
417,4mao,7.33
418,1duv,11.8
419,4wz5,5.51
420,1o3l,6.54
421,1gzg,3.05
422,2nsj,4.79
423,2w5g,6.07
424,2puy,4.52
425,3g2k,4.79
426,5afl,3.4
427,3sl4,7.57
428,3nti,5.22
429,3lk8,7.71
430,2arm,7.68
431,5bvk,4.0
432,2y7k,4.93
433,3sm0,6.13
434,4wq3,7.0
435,4acx,7.11
436,5ece,8.05
437,3tdu,5.67
438,4r18,7.68
439,4bde,4.8
440,4izm,6.66
441,3opm,6.62
442,4a7i,8.7
443,1ybo,3.8
444,3n4l,7.23
445,2xab,9.27
446,3po1,4.02
447,1h6e,6.15
448,3da9,5.51
449,3hmp,5.49
450,3sdg,5.55
451,1vwn,5.82
452,2ynn,5.17
453,2x6f,4.59
454,3lil,8.08
455,3l3q,7.27
456,1tps,8.0
457,3abt,4.77
458,2oc2,8.52
459,4x8o,6.6
460,4j8m,7.32
461,4oc3,8.28
462,1tx7,4.6
463,4mnp,7.34
464,1kwr,6.6
465,5cbm,7.77
466,3mqf,5.24
467,2g2r,7.89
468,3kqm,3.77
469,5aly,6.73
470,3a9i,4.15
471,4oti,7.37
472,3s53,9.64
473,1v2j,3.25
474,4bib,6.6
475,2jqk,3.4
476,5cxz,6.26
477,3gba,9.07
478,3u7n,7.95
479,3g6z,9.7
480,4zls,9.09
481,2w16,10.0
482,3o1g,9.0
483,1pme,9.4
484,4fp1,4.57
485,2peh,5.96
486,4hy0,6.7
487,3pdc,7.49
488,4ab8,3.87
489,2pzy,7.47
490,4bps,2.99
491,3uxk,4.93
492,1t4j,5.1
493,1w31,3.6
494,4g69,5.98
495,1afl,6.28
496,3kaf,6.08
497,3juo,5.07
498,4hvg,7.77
499,1e6s,3.22
500,3v3l,6.43
501,4trw,4.14
502,4yne,8.52
503,5ak6,3.49
504,3v3q,6.6
505,3t2q,3.66
506,5egm,8.62
507,4e4n,9.05
508,1tow,6.24
509,3otx,4.53
510,1pfy,8.15
511,4hlm,6.77
512,2y59,6.44
513,3m67,6.74
514,1d4j,8.36
515,5cnj,6.84
516,1uti,5.62
517,3tvl,4.0
518,4flp,6.72
519,2qo1,5.57
520,2x7t,6.63
521,4abu,6.28
522,1kfy,5.28
523,2vb8,4.6
524,1cx9,6.75
525,3ipa,6.22
526,4p00,6.4
527,3c89,6.07
528,3t09,3.8
529,3fzt,6.2
530,3bvb,5.49
531,3e7b,9.8
532,4i7d,7.0
533,3n35,3.37
534,4igq,4.52
535,2igv,2.23
536,4aia,3.66
537,2vw2,3.3
538,1rsi,4.42
539,1aqi,5.62
540,4ie0,5.08
541,4cpz,7.68
542,1szd,4.54
543,1h1b,9.8
544,4qsk,5.1
545,4tuh,4.0
546,2uwl,8.4
547,3fwv,5.64
548,2gvz,6.89
549,1qm5,5.82
550,2who,7.7
551,3su6,6.02
552,4k42,6.55
553,1sle,6.17
554,3a1e,2.66
555,1prm,4.23
556,3cj2,4.85
557,1o34,5.74
558,4o91,6.83
559,3zk6,6.34
560,4ge2,6.05
561,2emt,6.7
562,2r5b,8.6
563,4tya,2.39
564,3uij,4.7
565,1g45,8.64
566,4eqf,6.81
567,3wsy,6.36
568,4wkt,3.26
569,3wpn,4.36
570,3btc,5.75
571,2bmg,7.74
572,1b42,4.01
573,3ztd,4.02
574,4jq7,6.41
575,5e1s,7.92
576,4hyu,8.21
577,3drp,9.7
578,4o5g,4.3
579,3k05,4.85
580,4pax,6.4
581,4jfi,4.74
582,4yik,6.89
583,4ool,6.85
584,2gsu,3.59
585,4b83,5.15
586,4hco,4.32
587,4x47,2.85
588,4m5j,4.84
589,4j08,6.66
590,3co9,8.0
591,3itz,8.85
592,4b5s,3.49
593,4jc1,4.3
594,1qy5,6.7
595,1uwf,6.82
596,2x8e,7.85
597,4gqq,2.89
598,2vwf,5.06
599,1tl7,7.92
600,2y82,8.4
601,4yrr,2.7
602,1o32,5.74
603,3u51,5.51
604,4q4i,7.33
605,4edu,3.99
606,1z2b,6.4
607,4u0g,5.29
608,1qbt,10.62
609,2h2g,5.04
610,2xog,3.43
611,2rkg,8.09
612,4rww,5.85
613,4nat,6.48
614,4qlq,8.18
615,2v59,7.74
616,3rak,6.89
617,2weo,6.93
618,3m8t,4.0
619,2w1h,7.28
620,4anm,7.55
621,4p4j,6.15
622,3djv,4.55
623,4jit,6.64
624,4b6p,7.13
625,3zrk,6.89
626,3v5t,8.22
627,1azm,6.1
628,2zxg,8.82
629,3vrt,8.57
630,4s3e,6.11
631,4eqj,5.6
632,4wtu,9.52
633,4aa0,7.46
634,3moe,4.3
635,2qhd,5.38
636,2j79,5.96
637,2qn3,5.36
638,3d50,4.77
639,1li3,4.25
640,5boj,7.0
641,4jfe,4.51
642,3k99,7.22
643,2gv2,8.3
644,1ai4,2.5
645,3vzv,8.04
646,1str,4.77
647,2wzx,6.0
648,2xcs,7.85
649,3czv,7.8
650,1j36,7.74
651,3u3z,5.36
652,3bzf,4.52
653,3wv3,7.62
654,5a5r,5.9
655,4xya,5.86
656,4b84,4.66
657,2hkf,6.38
658,3ebh,6.32
659,2k0x,5.68
660,3mbp,6.8
661,1ow4,5.68
662,4xm7,3.57
663,3dx4,7.12
664,5cao,7.42
665,3khj,7.55
666,1juf,5.85
667,4af3,7.51
668,4rxz,6.74
669,4ucd,4.0
670,1ke1,7.25
671,4z0q,8.17
672,2veu,7.0
673,2uxz,8.48
674,2ewb,6.1
675,3tv7,7.52
676,3nu6,9.3
677,3ikg,7.24
678,1xs7,7.6
679,2qpq,6.37
680,1t5a,4.62
681,1y2a,7.34
682,2x96,4.03
683,1n7m,5.71
684,2bcd,10.22
685,3eju,6.6
686,2vf6,8.52
687,2zg1,2.1
688,2xy9,9.19
689,3apc,7.44
690,1ssq,6.0
691,3vhc,8.89
692,1pig,9.15
693,4oks,4.48
694,2yjc,7.66
695,1my4,6.98
696,3wjw,3.87
697,5agv,9.7
698,1oe0,5.16
699,3kac,3.13
700,2rnx,3.4
701,3ikd,6.75
702,5c6p,3.7
703,6rsa,4.4
704,4f39,5.7
705,2pv3,5.25
706,3n2p,7.82
707,4qfo,4.27
708,1nnk,5.46
709,2oh0,7.74
710,4ok3,4.15
711,4ddl,8.31
712,5d1s,5.02
713,2c5o,5.19
714,4dsu,2.82
715,4mpn,6.62
716,2aa6,9.41
717,3nfl,4.38
718,4kif,4.84
719,2zoq,6.05
720,1way,3.4
721,4k5m,3.71
722,3m56,4.15
723,3ad7,2.52
724,5azf,4.44
725,3nww,8.15
726,1qxz,4.72
727,4igr,7.2
728,3w55,7.1
729,1ugp,2.89
730,1pot,5.49
731,4f1q,4.95
732,3zi0,7.4
733,3ska,7.49
734,4qgf,7.16
735,3i6o,10.35
736,1nz7,7.12
737,4hdp,7.51
738,1gnj,7.04
739,1oeb,6.93
740,1ndv,5.92
741,3qcs,6.5
742,3rz8,8.17
743,4pul,6.84
744,2osf,3.83
745,4civ,4.95
746,3hwx,7.86
747,1py2,7.22
748,4qiz,8.15
749,4lg6,6.74
750,3fyj,8.3
751,3nik,3.45
752,2vzr,4.28
753,3tc5,5.17
754,3t1n,6.1
755,4xhk,8.3
756,4bkj,8.72
757,4x9w,6.85
758,3q6k,8.37
759,3kqc,8.66
760,3rz3,5.76
761,2qi7,10.21
762,2wbb,6.04
763,4n70,12.0
764,2kmx,4.08
765,2xgs,3.28
766,4ge6,7.47
767,1d8f,7.74
768,3ayc,4.24
769,1utj,3.84
770,4wyy,6.0
771,4b5w,3.33
772,3we4,7.82
773,4qoc,9.92
774,3v5q,7.4
775,4jpe,7.32
776,4xmo,8.7
777,3k8q,11.28
778,1v1m,3.94
779,2vd7,5.38
780,4og8,7.25
781,5aad,6.67
782,1uh1,5.48
783,3d9z,8.7
784,4mpe,6.37
785,4r6w,5.27
786,4z1s,6.1
787,3cl2,7.59
788,1srg,5.3
789,4ufl,2.64
790,2wig,3.43
791,3h0s,6.2
792,4de0,5.89
793,3n8k,4.05
794,3g30,2.51
795,3mxc,6.54
796,2qcd,3.4
797,2jle,6.42
798,3i3d,1.99
799,4hso,4.66
800,4aj1,3.11
801,3aw0,5.24
802,4xyn,5.89
803,3tz4,5.49
804,2pql,7.28
805,5dk4,8.7
806,4fpk,4.24
807,4utx,5.24
808,2y4s,6.15
809,1eoj,13.77
810,1ahx,3.92
811,2j4k,4.85
812,2srt,6.64
813,1usi,6.74
814,1n1g,2.3
815,2f2h,5.7
816,1w1d,6.52
817,1xm6,6.38
818,1a5h,6.3
819,4ret,7.59
820,2m41,5.1
821,3vhv,6.29
822,1x9d,3.96
823,5ar5,6.3
824,2gqn,5.35
825,2vd4,4.74
826,1x8t,7.8
827,4l7h,3.7
828,3s3m,7.4
829,4wy7,6.78
830,4rn4,6.94
831,1ql7,5.0
832,1nax,6.43
833,4irx,6.12
834,1i8h,4.54
835,1nq7,6.8
836,4rx7,8.3
837,3g6h,8.19
838,5a3u,8.32
839,1d4t,6.19
840,4l4l,8.3
841,1f28,7.8
842,1awf,6.01
843,3h0a,7.48
844,1xt8,6.85
845,1hbv,6.37
846,3vf7,9.1
847,3l5f,6.22
848,4qwf,6.0
849,1o4n,1.4
850,4exg,8.07
851,3udy,5.7
852,4wvl,6.88
853,1g3f,6.37
854,4own,4.22
855,3l08,10.22
856,3nu9,9.05
857,1x6u,3.22
858,2vc7,3.36
859,1h5v,3.93
860,1t7r,5.96
861,4i0s,7.44
862,2xgo,3.0
863,2zns,6.54
864,4u6e,3.3
865,4b9z,4.09
866,2w8w,2.12
867,4e96,6.66
868,2dq7,8.32
869,3rtn,7.13
870,3p78,6.96
871,2xln,4.48
872,4u5s,2.41
873,4aw5,6.12
874,2cex,4.7
875,3szm,6.4
876,3w1f,8.44
877,1v48,7.8
878,4ty1,9.26
879,4rx8,7.46
880,2hah,8.0
881,3rzb,4.0
882,2z5o,6.0
883,1vfn,5.6
884,1waw,7.89
885,3w9r,6.18
886,4lxz,6.74
887,4cg9,6.21
888,3c2f,2.0
889,3k02,5.0
890,1o2s,5.47
891,4mgv,7.12
892,1c8k,6.0
893,4mra,4.47
894,4orx,3.53
895,2hnc,7.22
896,4ijl,3.87
897,2ai7,6.4
898,1zkl,5.09
899,4oee,5.76
900,2a4m,4.52
901,3hqw,7.46
902,4raq,6.72
903,4el9,5.36
904,3g45,8.36
905,4gvc,4.71
906,3m3o,3.6
907,3lqj,5.37
908,1ylv,2.7
909,2lnw,5.85
910,2xzg,4.74
911,4m5n,5.12
912,2vex,6.74
913,5ap6,7.88
914,3oe8,8.14
915,2zdn,6.25
916,2gv6,7.34
917,3jzb,9.01
918,3kdb,9.85
919,1tng,2.93
920,1qm4,4.3
921,3qtv,4.65
922,3di6,7.0
923,1mzs,5.15
924,3khv,1.85
925,5dgu,11.35
926,3cke,6.1
927,1c85,4.64
928,4g2y,6.0
929,1yw2,6.85
930,4o9w,7.16
931,4cd5,6.71
932,1lox,5.52
933,2zx9,10.27
934,2z4o,9.57
935,4xnw,7.74
936,3atu,8.3
937,4b85,4.06
938,4a7b,7.4
939,4b6r,5.85
940,4k1b,11.52
941,4lm3,2.92
942,4bcw,4.0
943,4wwp,6.92
944,4fxp,4.09
945,3hha,7.9
946,2uy5,5.49
947,1c86,4.7
948,3qlc,5.43
949,2rox,4.98
950,4od7,5.08
951,2x4r,4.77
952,2rny,3.66
953,4um1,5.77
954,1y8o,5.89
955,4kzb,2.89
956,2zx7,10.49
957,3as0,4.55
958,3uwk,4.24
959,4ejl,5.14
960,2v85,4.46
961,1x8d,2.21
962,4yef,5.35
963,1lhd,9.62
964,4wf6,6.3
965,3qtr,6.03
966,2qky,9.61
967,2z94,5.85
968,4hxm,6.1
969,2vcx,7.68
970,3zxz,8.4
971,2fqt,6.14
972,3btj,5.62
973,1fwu,3.7
974,2ghg,8.82
975,1zky,6.25
976,4wsy,7.77
977,4bfy,6.92
978,4b35,2.89
979,4os4,4.87
980,3kyq,4.22
981,5aag,7.34
982,3cvk,8.0
983,3qem,7.22
984,1d09,7.57
985,2xey,5.19
986,3wk4,5.13
987,4agd,8.41
988,2o1c,4.72
989,5akj,5.86
990,4o71,4.74
991,1bp0,5.4
992,4yuy,3.34
993,2qi4,10.44
994,4azf,6.35
995,1v0m,5.1
996,1ux7,3.0
997,1lhu,8.83
998,4pv0,9.07
999,4l31,6.79
1000,3vf3,5.86
1001,4nzn,6.38
1002,4n07,6.46
1003,4hra,10.1
1004,3q6s,6.74
1005,4k5n,3.9
1006,3ezr,5.0
1007,1o3p,6.66
1008,4qsx,1.74
1009,4kc4,3.23
1010,3pdq,6.74
1011,2iqg,8.3
1012,2f7o,7.44
1013,2lyb,4.46
1014,3peq,7.5
1015,1b11,7.39
1016,3db6,6.14
1017,4k6t,4.1
1018,4dkp,5.72
1019,4nxs,7.37
1020,2fai,6.24
1021,4u58,2.0
1022,1jil,8.4
1023,4few,5.21
1024,3h0b,5.49
1025,2xf0,4.52
1026,5ccl,4.77
1027,3rum,5.77
1028,4os6,6.44
1029,3e3b,7.96
1030,3q92,7.92
1031,4cwn,5.59
1032,3mho,6.49
1033,3n1w,3.3
1034,4b4g,6.76
1035,1kzk,10.39
1036,2yoj,8.3
1037,2jfh,3.06
1038,2g0h,7.64
1039,3r7q,6.97
1040,4c4h,8.22
1041,2etr,6.82
1042,2f70,4.47
1043,4jdf,2.19
1044,1rwx,7.37
1045,2qc6,7.0
1046,3k5g,8.6
1047,3rz9,6.92
1048,3oap,6.26
1049,1ru2,6.49
1050,4kp8,5.48
1051,4r0i,6.52
1052,2upj,7.39
1053,4a4h,2.77
1054,4ruu,7.54
1055,1my3,5.4
1056,4hzw,8.88
1057,2fde,9.15
1058,4wke,8.1
1059,3oev,8.13
1060,4h81,5.12
1061,4m3d,5.41
1062,4i9i,8.1
1063,1bdl,5.85
1064,3p4v,5.1
1065,1pr5,3.92
1066,3fea,7.44
1067,4d1b,4.44
1068,4kz8,2.8
1069,4mdn,6.22
1070,4j4o,6.9
1071,4kwo,6.45
1072,1om2,4.7
1073,3iux,7.6
1074,3hmm,7.6
1075,1ado,6.0
1076,2p9a,5.18
1077,3ksl,4.52
1078,1m0q,3.89
1079,4d63,1.64
1080,1bwn,7.06
1081,2vwm,7.03
1082,4n7u,6.29
1083,2gnh,6.83
1084,2fqx,7.15
1085,4d2t,6.0
1086,2fqy,6.57
1087,1y0x,8.7
1088,3eos,8.4
1089,3tia,8.51
1090,3nok,4.19
1091,3ctt,6.35
1092,4nbk,3.87
1093,3b24,4.38
1094,4zpg,7.26
1095,3dba,8.0
1096,1pg2,4.96
1097,1fta,6.36
1098,4ocp,6.1
1099,2cmb,7.19
1100,1owe,6.2
1101,4cfv,4.63
1102,1g9c,5.3
1103,3kdt,6.59
1104,3upx,8.12
1105,4lv2,8.0
1106,3mke,5.66
1107,1pyn,5.49
1108,2q2y,8.8
1109,4qge,9.3
1110,2op3,6.31
1111,4qfg,5.48
1112,3thb,8.7
1113,4hj2,2.53
1114,1gwr,6.6
1115,4w50,5.85
1116,2b07,6.43
1117,3ro4,6.23
1118,4ds1,4.75
1119,1l6m,8.1
1120,1bky,3.84
1121,1yqy,7.62
1122,4bt5,2.76
1123,3el9,8.4
1124,3rq7,7.77
1125,3znr,7.44
1126,4bt3,3.12
1127,2cia,6.43
1128,4j24,7.3
1129,3fzy,6.74
1130,3m5e,7.37
1131,3v8s,6.19
1132,2qft,5.26
1133,4y7r,5.03
1134,1ph0,6.92
1135,3avf,3.53
1136,1qw7,3.6
1137,4gja,5.92
1138,4h71,4.45
1139,2ccs,5.7
1140,3vw7,8.1
1141,3uvk,6.8
1142,2ovy,8.4
1143,1yfz,4.35
1144,4jck,2.37
1145,2g1q,7.36
1146,3sw9,5.38
1147,3mb6,7.0
1148,3eb1,4.79
1149,1e06,5.6
1150,2vtt,7.36
1151,2gbg,7.25
1152,3zh8,6.47
1153,4aig,6.52
1154,2izl,6.0
1155,4dkt,4.8
1156,1n7i,6.59
1157,2w6c,8.41
1158,3dtc,7.59
1159,2r3g,6.1
1160,2d41,6.82
1161,2p4j,8.96
1162,3t03,6.8
1163,4ytf,8.15
1164,1zlv,6.15
1165,4d8z,6.29
1166,1yw7,5.85
1167,2gzl,4.82
1168,4b0g,7.82
1169,2xc0,6.72
1170,4hvb,9.95
1171,4mk1,4.8
1172,5c8m,7.19
1173,2wxm,7.4
1174,2byi,6.34
1175,2w7y,6.08
1176,4cjn,4.76
1177,4aa4,8.05
1178,3zcz,6.77
1179,3iiw,4.44
1180,1noi,3.15
1181,4gbd,11.32
1182,2xwy,5.22
1183,4y3b,4.87
1184,1hih,8.05
1185,3nus,3.51
1186,4oow,5.37
1187,4ylk,6.74
1188,2kff,3.61
1189,2vcb,5.26
1190,3hyf,5.92
1191,2w67,4.96
1192,4joo,4.43
1193,3qkk,6.52
1194,4x6o,8.72
1195,4ngm,10.35
1196,5am0,5.88
1197,5cau,8.8
1198,3bg8,5.89
1199,1h2u,7.89
1200,3nf6,3.53
1201,3s9z,6.22
1202,1fsw,6.49
1203,1nki,6.7
1204,3wti,5.9
1205,4ad3,4.62
1206,2q8s,6.73
1207,4eos,6.05
1208,4cc6,6.64
1209,2jb5,9.22
1210,3kc1,9.0
1211,9icd,3.9
1212,2psv,7.24
1213,1d9i,9.11
1214,4fs4,6.57
1215,3v31,5.8
1216,5ai5,7.03
1217,2hxl,7.92
1218,4ufj,4.28
1219,4ury,2.22
1220,4u69,4.26
1221,1o2k,6.92
1222,3wk6,5.2
1223,3r21,6.74
1224,4xe1,7.11
1225,2j7f,6.35
1226,3rv8,4.92
1227,2wyn,5.55
1228,3t0t,7.04
1229,3fmq,7.95
1230,3bbt,6.15
1231,1w11,8.22
1232,1pbq,6.27
1233,3sad,5.96
1234,1iky,8.26
1235,4hwp,7.76
1236,4imq,5.82
1237,2pvk,8.3
1238,3v6r,6.15
1239,2r5a,2.6
1240,2wxv,8.7
1241,4ipf,7.74
1242,2rkm,3.9
1243,4w7p,7.49
1244,3l0n,2.77
1245,4wpf,6.6
1246,1xn0,6.24
1247,2am2,5.1
1248,4rcd,9.15
1249,3okp,4.72
1250,3are,6.21
1251,4q2k,7.48
1252,1y3g,7.4
1253,3lzz,3.84
1254,2w05,9.0
1255,1v3x,7.62
1256,1tsm,6.0
1257,1pxm,7.22
1258,4jfl,4.98
1259,3hv5,7.02
1260,4cfu,4.0
1261,1zaj,5.1
1262,3mlb,4.8
1263,3efk,7.85
1264,2ftd,10.39
1265,2zju,5.81
1266,4ap0,8.0
1267,3ozj,5.11
1268,3mbz,5.8
1269,3zhz,7.05
1270,4x49,4.53
1271,1sps,8.52
1272,3e4a,8.77
1273,1f0u,7.16
1274,3oil,5.68
1275,4g8n,7.2
1276,3r7r,8.74
1277,1ndz,8.11
1278,4w9k,6.54
1279,3zzh,3.36
1280,4ju4,6.47
1281,2pvw,9.52
