,pdbid,-logKd/Ki
315,2q8y,3.99
316,4orx,3.53
317,2q8s,6.73
318,4um1,5.77
319,1pk0,7.57
320,1xa5,6.5
321,3su1,6.68
322,4q4p,6.39
323,5c8m,7.19
324,4yym,3.62
325,1tyn,9.7
326,1ph0,6.92
327,2a4q,7.18
328,1bmk,7.6
329,3ioc,3.68
330,3i02,7.52
331,1olx,4.33
332,1hdt,7.76
333,4u6w,4.21
334,4lxz,6.74
335,5ap3,7.03
336,1o2n,6.09
337,3o0u,7.92
338,4a4w,7.72
339,2v5x,6.66
340,4lys,4.34
341,3hp5,7.15
342,4j8t,6.77
343,1eb2,6.01
344,4xt2,7.15
345,4b13,5.7
346,1qxk,5.05
347,4ymb,6.21
348,2h5i,8.89
349,3b7r,7.7
350,5e2o,8.7
351,1tsy,4.96
352,4hyu,8.21
353,4qz4,5.01
354,4or0,7.46
355,2a5s,6.7
356,3rwq,7.46
357,1cyn,7.68
358,3tvl,4.0
359,2igx,7.27
360,2mov,7.4
361,2q3z,7.22
362,4zek,5.66
363,4ytc,7.89
364,1ml1,4.28
365,4o7b,4.7
366,1jje,8.43
367,2zg1,2.1
368,3fzn,4.01
369,1h5u,6.75
370,4oc2,8.28
371,1ru2,6.49
372,4u0s,6.8
373,5ak0,7.68
374,3d51,4.15
375,3upy,5.62
376,1ouk,9.89
377,3gf2,1.7
378,4lil,4.9
379,3e3u,7.89
380,3vf7,9.1
381,2b1z,7.1
382,1bug,4.37
383,1k6c,7.48
384,4bw1,5.9
385,3o9e,11.3
386,3rz3,5.76
387,3fum,3.77
388,3c2f,2.0
389,1hk2,6.77
390,3tz4,5.49
391,2zga,6.32
392,1njf,5.99
393,3sue,9.08
394,2w1h,7.28
395,4nmp,4.04
396,3r5n,5.78
397,1tg5,7.92
398,4fk6,9.7
399,4lj5,6.29
400,4y63,3.58
401,4e1k,6.3
402,3qwc,4.26
403,3zlx,3.8
404,4og5,6.52
405,4zur,7.17
406,1ow6,5.4
407,3k0k,5.43
408,5cal,7.66
409,3su5,5.58
410,3ivq,4.12
411,2ohu,5.38
412,2j7d,7.13
413,1h8s,5.81
414,3dga,4.52
415,2f6j,5.57
416,1okz,8.3
417,4qhp,8.05
418,4ret,7.59
419,5a5p,4.0
420,2gvv,3.9
421,3sio,8.0
422,3lpp,6.22
423,4q4i,7.33
424,3veh,4.96
425,3pma,5.4
426,4bjc,7.85
427,2ves,7.7
428,1osv,3.48
429,3p4w,4.57
430,4urw,2.8
431,3nzk,9.27
432,1kdk,9.05
433,5ar5,6.3
434,4amz,9.82
435,2fzc,2.7
436,1hkj,8.59
437,5ar8,8.1
438,3hfv,4.87
439,3byu,9.1
440,4na7,9.7
441,1uk1,7.22
442,4bb4,6.72
443,4mc1,7.85
444,1a4r,6.66
445,1c3i,5.8
446,1ui0,7.06
447,3ebb,5.3
448,1uml,7.52
449,5akz,5.26
450,2oag,8.47
451,2vci,7.68
452,3wmb,5.37
453,2fpz,3.96
454,2qwd,4.85
455,2jkp,4.23
456,1v0o,5.26
457,1c5f,6.07
458,1bnw,9.08
459,4d0w,7.7
460,2fm5,7.37
461,1gqs,6.3
462,2xk4,4.77
463,1tpz,6.19
464,2y8l,5.82
465,4ivs,7.36
466,2az9,7.66
467,1o9d,5.6
468,4bi6,3.95
469,3fvn,6.77
470,3ekx,9.41
471,4fyh,4.85
472,3pp0,7.96
473,3ls4,6.3
474,4f08,6.6
475,4e96,6.66
476,4y2q,2.92
477,3e6y,5.6
478,4igt,7.89
479,4kmz,8.57
480,3qcf,5.6
481,2ow0,6.7
482,2xpb,5.7
483,2hnc,7.22
484,3ern,1.72
485,1ogd,3.03
486,4ai5,2.92
487,4mdr,4.39
488,1c5t,4.1
489,4e34,6.01
490,2vrx,7.35
491,1yk7,7.72
492,4xm7,3.57
493,4e3h,7.05
494,4f1l,5.12
495,3n51,7.82
496,3ud9,4.67
497,3chq,7.7
498,2kpl,6.64
499,1o5m,8.72
500,4qhc,6.7
501,3bcn,7.12
502,1p17,2.82
503,3hyf,5.92
504,1unh,7.0
505,3q2a,5.3
506,1fzo,7.89
507,1pyg,5.52
508,2jqk,3.4
509,4r3s,8.22
510,1jd0,8.24
511,4fli,5.44
512,4je7,6.4
513,4o4y,7.81
514,3ljo,6.62
515,3m5e,7.37
516,1ec0,8.49
517,3elj,5.3
518,4apo,4.91
519,3iut,6.34
520,5tmp,7.47
521,3usn,6.15
522,3sn7,9.15
523,2rnx,3.4
524,1e1x,5.89
525,4cfu,4.0
526,2lsv,5.27
527,3h5u,8.52
528,2az5,5.27
529,4glw,6.1
530,1bgo,8.46
531,4bg1,6.31
532,1zpa,8.4
533,2cji,8.22
534,4hp0,6.12
535,2weo,6.93
536,2k7l,6.15
537,4mwc,5.87
538,3tb6,5.08
539,2h02,6.49
540,2r0y,3.0
541,3vtd,7.92
542,2v10,9.4
543,2avs,7.57
544,1lcp,6.64
545,3da6,8.7
546,4h3a,6.29
547,3k4q,5.34
548,3tv8,7.15
549,3rqg,4.64
550,3uxg,3.96
551,4cws,7.92
552,3sl8,6.54
553,3sut,7.85
554,2hd1,3.3
555,3ds0,4.83
556,2w0d,8.7
557,1sqc,6.85
558,4n4v,8.7
559,3zpu,8.38
560,1gjd,5.22
561,2yk9,5.09
562,3qnd,4.85
563,5ali,7.07
564,4b33,3.37
565,4ibc,2.98
566,2cc7,8.01
567,3p4v,5.1
568,3w0l,7.02
569,4hyf,7.6
570,1w5w,8.8
571,1tys,5.49
572,4xhk,8.3
573,2z3z,4.31
574,4l51,3.0
575,4pgh,4.89
576,3tkz,5.92
577,4nxs,7.37
578,1k3t,4.19
579,3s3o,7.57
580,3lp7,5.44
581,3o57,10.1
582,4bcj,7.96
583,3elc,2.69
584,4cwf,4.49
585,3lgl,6.05
586,1ogg,5.19
587,4mjp,3.88
588,4zz3,6.0
589,2xk3,5.68
590,2y9g,3.77
591,2adm,5.7
592,2hmw,7.7
593,3qcy,7.7
594,2fdd,8.32
595,3d9v,8.22
596,5ajo,4.96
597,1lqf,8.3
598,4pjt,9.24
599,1usi,6.74
600,2q2a,7.41
601,4jps,8.3
602,3rt6,7.15
603,1gnm,6.25
604,3q71,5.22
605,2ank,7.33
606,3s7b,6.3
607,2vb8,4.6
608,1x1z,11.06
609,3gy2,5.74
610,1maw,1.1
611,4bah,8.7
612,4f1s,8.7
613,4jrv,7.54
614,2xxy,7.89
615,4cpq,7.74
616,4o04,6.16
617,2ogy,4.48
618,2h21,6.54
619,4lvt,10.36
620,1epq,8.19
621,1dar,4.96
622,5a2k,6.35
623,2fxv,5.35
624,3cct,7.56
625,4ezj,8.42
626,2yc3,6.85
627,2vsl,8.4
628,4p73,7.66
629,2idw,8.89
630,4yc9,8.89
631,1slg,3.9
632,4fai,6.99
633,3h5s,8.3
634,1q4x,9.48
635,2xdx,6.46
636,2jkh,8.05
637,4k5z,3.0
638,5bue,8.52
639,3fmr,7.97
640,4rww,5.85
641,1ws1,9.55
642,2avv,9.26
643,1skj,5.15
644,1rjk,10.0
645,4y83,7.77
646,5c8n,7.55
647,2xhx,6.6
648,3wzq,6.23
649,4yjn,7.92
650,3nim,4.75
651,4uvu,5.92
652,3agm,9.09
653,4kin,8.32
654,2w1c,8.0
655,4aa1,4.12
656,2i4z,5.7
657,3p7a,6.28
658,3vfq,5.19
659,3cj2,4.85
660,2x2m,6.77
661,4yog,5.74
662,4phw,10.0
663,3nf7,3.47
664,4hnp,6.78
665,1kr3,5.0
666,4iid,5.62
667,3g5v,7.8
668,3zbx,8.22
669,4myh,4.64
670,1joj,4.22
671,4cts,5.0
672,3uyr,6.9
673,4r4t,6.26
674,2vk2,6.89
675,4qyy,7.3
676,4x14,2.92
677,1dif,10.66
678,3ll8,6.4
679,4ajl,3.8
680,4dwb,5.74
681,4wzv,9.37
682,1lzq,8.39
683,3fc2,9.06
684,1ua4,4.22
685,2ggu,3.03
686,1uk0,8.1
687,3l4x,6.89
688,2jnp,6.89
689,1yw2,6.85
690,1zpc,6.6
691,1ujk,6.57
692,1o6h,6.73
693,2bve,3.67
694,1m83,3.4
695,1zp8,8.77
696,5buj,8.3
697,3lnz,9.31
698,1zc9,3.22
699,5a00,7.52
700,3w54,9.7
701,3g19,6.67
702,1ny0,5.85
703,3u93,6.31
704,3djf,6.1
705,1ze8,7.68
706,3t6r,5.66
707,2prj,4.49
708,2pk5,10.7
709,2aa9,2.92
710,1oay,5.92
711,3q7j,4.52
712,4oc4,6.98
713,3nww,8.15
714,3qd3,8.0
715,1gi7,4.51
716,3ewu,4.62
717,4wk2,6.94
718,4z93,7.35
719,2bvd,6.0
720,1d7i,3.6
721,4mdn,6.22
722,4wvt,5.31
723,1yt9,8.3
724,1lf9,12.0
725,3b3x,3.6
726,4c5w,5.48
727,3avz,7.19
728,4occ,8.7
729,3qck,5.24
730,2c97,6.14
731,2gz7,6.52
732,3h0b,5.49
733,3m3o,3.6
734,3hy7,6.97
735,5c8k,7.7
736,3inf,7.4
737,2qwf,5.67
738,2g5p,8.42
739,3m36,9.82
740,1fd0,8.4
741,3piz,5.46
742,4y8z,10.4
743,3rxe,4.76
744,4drm,5.24
745,2pwd,4.4
746,4mwq,9.1
747,2xag,4.55
748,1km3,4.91
749,1etz,7.24
750,2hwg,3.55
751,5ale,5.95
752,3v7c,5.74
753,4li5,6.26
754,2f5t,5.17
755,3d4q,10.52
756,1cny,7.85
757,4h1m,7.11
758,2v5a,6.82
759,1nvr,8.11
760,2gkl,5.35
761,3buw,5.83
762,1uz8,4.96
763,1o3h,7.3
764,1hyz,3.42
765,4mzk,5.31
766,1di8,6.0
767,4r7m,7.96
768,4c9w,6.11
769,3l4t,5.42
770,5bui,7.05
771,3s3v,6.23
772,3f5j,4.28
773,5e1b,4.84
774,4mgc,6.32
775,4b0c,2.07
776,4dwg,7.24
777,1jk7,8.52
778,2ff1,8.21
779,1uv6,5.12
780,3shj,7.47
781,2vc9,8.44
782,3kl6,8.46
783,2w78,8.57
784,2y2h,4.57
785,3d6o,4.11
786,3nga,8.0
787,1c1r,7.63
788,2qwc,3.55
789,2g63,8.17
790,2hs1,8.48
791,1a46,5.7
792,4u0u,5.82
793,3b82,4.43
794,3d27,4.25
795,2bpv,7.67
796,1oau,7.7
797,4fsl,7.7
798,3so9,8.56
799,4luo,3.24
800,1nlp,4.96
801,2jjk,8.05
802,2z60,8.05
803,1i32,5.7
804,1o35,5.0
805,3t6y,5.52
806,3nok,4.19
807,3pcf,6.05
808,2yim,3.92
809,1sdv,8.74
810,2q95,5.8
811,3orn,9.62
812,2iko,5.45
813,3art,4.43
814,3vp4,4.73
815,4z8m,7.44
816,4rwl,8.1
817,4b6c,6.16
818,4dtt,5.54
819,1fh7,5.24
820,1b57,8.0
821,1bnn,10.0
822,1ai4,2.5
823,3krw,7.38
824,4k2f,7.4
825,1gz3,3.7
826,3wb5,4.57
827,2qtt,4.32
828,2ylo,4.88
829,4nwk,8.7
830,3m9f,11.15
831,1m2r,6.46
832,1kll,5.2
833,4qfn,4.12
834,4ibb,3.57
835,4j73,4.56
836,4iuv,5.72
837,4p74,5.0
838,3tay,3.38
839,3qo2,6.85
840,1h6e,6.15
841,1nq7,6.8
842,4ds1,4.75
843,1w2x,5.14
844,2bpm,8.7
845,4lkq,3.35
846,2e92,6.89
847,1gbt,2.0
848,2pwg,4.82
849,1bio,5.54
850,4hs8,7.92
851,1xgi,4.85
852,1ur9,5.77
853,2yhw,5.6
854,3omc,5.0
855,2bmk,5.62
856,2euk,6.6
857,2zn7,7.89
858,4aqc,9.05
859,4hvd,8.85
860,2xh5,7.57
861,3unk,4.82
862,3vo3,8.85
863,2xx5,6.7
864,3zmz,4.74
865,4wmx,4.85
866,2hdr,1.72
867,2hxl,7.92
868,3r7b,6.15
869,1fq7,5.43
870,2vh6,9.7
871,5a14,7.3
872,2xck,6.15
873,3lq2,5.22
874,3lcv,4.74
875,2c1n,4.11
876,2wo8,6.28
877,1fiv,6.59
878,2xjg,7.82
879,2zcs,8.22
880,1b9s,3.18
881,3qxd,6.15
882,3u3f,5.1
883,1m51,4.73
884,3uo6,7.82
885,4unn,6.38
886,2ofu,9.0
887,2l1b,3.96
888,3le8,6.07
889,1x07,3.28
890,3nyn,6.0
891,2uzj,4.57
892,4yef,5.35
893,4edy,5.83
894,5ctb,7.64
895,4tt2,4.66
896,2ggd,3.8
897,3kvw,6.89
898,1uw6,7.34
899,3bc4,5.35
900,3iod,4.1
901,3vdc,4.92
902,4zun,4.59
903,4xkx,9.05
904,1d4h,10.0
905,4exs,4.41
906,2h2e,3.0
907,3fv3,9.52
908,4mbp,5.64
909,2hb9,4.82
910,3p2k,4.7
911,3r01,5.24
912,2zu3,6.1
913,2j4k,4.85
914,4qz7,5.65
915,4clj,9.15
916,4eo4,6.35
917,1mm7,7.7
918,4mot,7.3
919,1bxq,7.38
920,4nrm,3.2
921,3tct,8.52
922,1zvx,9.22
923,1pxm,7.22
924,1q65,5.46
925,3muk,3.42
926,5caq,8.57
927,2v83,4.47
928,1g2o,10.55
929,5c83,6.8
930,3n2c,5.12
931,3fgc,3.92
932,3uoh,7.89
933,3b26,6.64
934,2xgs,3.28
935,3n5k,9.7
936,2gu8,8.59
937,2a29,2.85
938,3iw8,4.87
939,3exf,6.54
940,1l5s,3.26
941,4wx6,9.0
942,1rri,5.82
943,3hmo,7.52
944,2ew5,5.9
945,4g0a,7.6
946,3e64,7.11
947,1t7d,6.03
948,4hld,9.3
949,3s8o,6.85
950,4fab,8.06
951,2brm,5.89
952,4gu9,4.37
953,4pra,5.66
954,3ole,7.83
955,3s68,8.66
956,2qry,8.64
957,1z1h,8.4
958,4b74,7.66
959,4qxo,5.51
960,3hac,8.17
961,1hv5,8.3
962,4b71,5.89
963,2o9r,1.68
964,2ay2,1.88
965,2ptz,7.82
966,3sx4,8.52
967,2xn7,10.0
968,4crd,7.1
969,1e72,3.22
970,4mma,6.04
971,4ps8,9.0
972,3w2p,5.09
973,4awj,2.0
974,4meq,3.6
975,1r4w,4.05
976,4w9f,5.49
977,4cl6,5.39
978,3lpf,6.68
979,1mqj,5.32
980,2y1w,6.33
981,3up7,8.21
982,4qxs,5.96
983,4qt2,6.32
984,3rjw,7.57
985,4fcf,8.62
986,4x1q,5.3
987,2g01,5.91
988,2o9i,7.4
989,4c6x,3.76
990,3k3g,2.85
991,2cni,7.68
992,2isc,8.42
993,3rlb,9.92
994,2jf4,8.15
995,1uyk,4.77
996,4qdk,5.85
997,1uu8,5.05
998,4ezl,8.59
999,1ajv,7.72
1000,1fpy,6.0
1001,1aqc,5.34
1002,3e37,5.39
1003,4k3l,2.96
1004,3mg4,9.3
1005,3ieo,6.48
1006,3d3x,4.16
1007,4tpp,8.59
1008,1lqe,5.82
1009,3sn8,5.65
1010,3prf,8.85
1011,1lvc,6.0
1012,3vv8,4.77
1013,3g4k,6.54
1014,4jjq,5.03
1015,1cim,8.82
1016,3szm,6.4
1017,4dzw,7.89
1018,2cng,6.96
1019,3thb,8.7
1020,3jzg,4.4
1021,3m3c,4.06
1022,4hxj,4.13
1023,2vqm,6.01
1024,3kwj,9.3
1025,3cs8,5.77
1026,1wbg,3.0
1027,1ddm,5.77
1028,3sfh,7.05
1029,1usn,7.74
1030,3caj,8.1
1031,3sh0,5.66
1032,2hs2,8.31
1033,4kxl,6.22
1034,5c6p,3.7
1035,2wkz,8.77
1036,3tcg,5.87
1037,1okl,6.03
1038,4hzx,9.3
1039,3mxc,6.54
1040,4u91,6.83
1041,1els,10.82
1042,3u2k,7.52
1043,3ttm,8.52
1044,1hp0,6.7
1045,3aqa,4.55
1046,2ftd,10.39
1047,4x1s,6.87
1048,2z5t,5.62
1049,3c94,6.87
1050,1i43,3.7
1051,3ms2,3.72
1052,2qpq,6.37
1053,3s2p,7.17
1054,2nyr,4.66
1055,1oar,7.4
1056,1u9v,8.22
1057,3vjl,8.25
1058,4kfp,8.0
1059,2qcf,3.49
1060,1o4i,2.64
1061,5cbm,7.77
1062,1ynd,8.44
1063,4dgr,5.04
1064,3msj,3.11
1065,1hk4,5.31
1066,3wsy,6.36
1067,2qu5,8.06
1068,4io5,5.03
1069,2x8i,6.72
1070,3chc,4.09
1071,1xgj,6.0
1072,1o4j,2.36
1073,4qpl,7.41
1074,5alv,4.36
1075,4ycl,8.15
1076,1f0q,6.0
1077,3dp2,5.82
1078,2wl5,4.52
1079,1jys,3.52
1080,2buv,4.0
1081,1tlp,7.55
1082,4as9,4.79
1083,1c5y,4.2
1084,4qem,7.8
1085,2pre,6.65
1086,1fvt,7.22
1087,3uvm,7.52
1088,4eos,6.05
1089,2zns,6.54
1090,4qvp,6.05
1091,4bdb,4.07
1092,3fed,7.46
1093,4ymx,7.1
1094,3t2v,6.99
1095,3u6a,6.49
1096,3kiv,4.7
1097,4jmx,7.21
1098,4y2p,2.66
1099,4wht,8.1
1100,2nnk,8.37
1101,3kc3,6.8
1102,2h2h,4.98
1103,1vr1,6.89
1104,2qrm,4.03
1105,4iic,4.85
1106,4p75,4.1
1107,1ka7,6.22
1108,4qk4,6.6
1109,1b74,1.3
1110,3wi6,5.33
1111,4rcd,9.15
1112,3nht,7.01
1113,2v8w,6.82
1114,4lop,8.15
1115,3iwy,7.28
1116,1nyx,7.04
1117,2ddf,7.39
1118,2aac,2.22
1119,4g69,5.98
1120,2xne,6.72
1121,1i5d,8.0
1122,1rsi,4.42
1123,3le6,7.46
1124,2jdm,5.4
1125,1r17,6.42
1126,4d0x,8.1
1127,2baj,8.4
1128,2zx6,10.6
1129,1v2l,4.29
1130,1q6t,8.3
1131,1c85,4.64
1132,2vf6,8.52
1133,2fl6,7.42
1134,3lxk,9.8
1135,2tmn,5.89
1136,4j3u,6.34
1137,3opm,6.62
1138,4pge,7.77
1139,3arb,6.63
1140,2yiv,2.78
1141,4igr,7.2
1142,3n8k,4.05
1143,3m35,7.22
1144,4g8n,7.2
1145,3bl0,6.92
1146,2hz4,5.47
1147,2a2g,7.0
1148,4p90,7.19
1149,2jb5,9.22
1150,4xta,5.43
1151,1bzs,8.0
1152,1z4u,7.15
1153,3tn8,6.13
1154,4s1g,9.22
1155,1mik,6.35
1156,4a4q,9.4
1157,1m0n,2.22
1158,4in9,4.97
1159,4rxh,5.91
1160,2idk,5.54
1161,4k10,6.92
1162,4o7f,4.89
1163,2rfh,6.82
1164,4xmo,8.7
1165,4aua,5.14
1166,3fcb,5.31
1167,4l4z,5.68
1168,3qw7,5.74
1169,5ap5,7.97
1170,3fud,2.7
1171,4a1w,7.3
1172,3vqh,5.92
1173,4li7,6.11
1174,3h21,4.7
1175,3ttz,8.4
1176,1dxp,7.57
1177,3g8o,7.8
1178,2cmb,7.19
1179,1bnt,9.8
1180,4u5n,2.48
1181,3k05,4.85
1182,3hbo,5.09
1183,1xr9,7.15
1184,1nki,6.7
1185,4j3j,7.51
1186,3dp1,5.0
1187,4cff,6.4
1188,4cst,8.89
1189,4ci1,6.6
1190,4nw7,6.63
1191,1q4k,6.55
1192,1g7q,6.06
1193,2zmm,7.6
1194,4u44,8.1
1195,4cqf,4.3
1196,3py1,6.89
1197,3lok,6.92
1198,2y5l,6.48
1199,4h4e,6.68
1200,4n7u,6.29
1201,3w5e,7.96
1202,2qi7,10.21
1203,4y2u,3.24
1204,4az3,8.3
1205,3vha,7.4
1206,3aza,5.13
1207,4b6s,6.01
1208,3g30,2.51
1209,3a1e,2.66
1210,4ie5,4.82
1211,5c11,6.47
1212,3jyj,5.74
1213,4lkk,5.92
1214,3exo,4.62
1215,3g5k,9.52
1216,3buh,3.66
1217,4ajk,3.11
1218,4mm5,7.74
1219,1owi,7.55
1220,1zuc,8.77
1221,3lce,3.81
1222,4p7e,4.76
1223,2oi9,5.7
1224,4c6v,4.59
1225,4fjz,6.29
1226,3uz5,7.22
1227,1k1o,6.17
1228,4fmq,5.05
1229,4tyt,7.7
1230,4a9i,4.9
1231,4p5z,7.41
1232,5a3o,4.73
1233,2bow,4.0
1234,1ai7,4.09
1235,2jfh,3.06
1236,3lk1,4.26
1237,5akl,7.07
1238,4u0x,6.23
1239,3pkn,4.66
1240,2jdk,6.54
1241,2xog,3.43
1242,4y87,7.24
1243,3ws9,7.04
1244,1zsh,7.07
1245,3mpe,7.4
1246,3tkm,9.0
1247,2r4f,8.82
1248,2q11,6.05
1249,2fci,7.15
1250,4rrs,6.68
1251,1iyl,9.0
1252,2vzr,4.28
1253,4yw6,7.08
1254,4awf,5.57
1255,3bc3,6.81
1256,4dpi,7.11
1257,4r59,7.96
1258,4re2,4.98
1259,3gc7,9.22
1260,2xml,3.3
1261,1flm,9.37
1262,3u8m,8.89
1263,4muw,8.01
1264,3kaf,6.08
1265,1mu6,8.38
1266,4ivk,3.85
1267,1t37,4.35
1268,3o6t,5.22
1269,4j53,8.7
1270,1ggn,5.51
1271,4az5,5.99
1272,2pv3,5.25
1273,3aid,6.86
1274,3ftv,2.93
1275,1h9l,3.12
1276,1lhv,8.91
1277,3ao2,3.77
1278,4hgc,10.0
1279,2lto,3.11
