,pdbid,-logKd/Ki
752,4zec,5.82
753,1svg,8.7
754,2qqs,6.4
755,3uix,6.82
756,4ngs,8.12
757,3t5i,6.82
758,1y2c,6.57
759,1s4d,6.49
760,4z1s,6.1
761,4g5y,2.77
762,2zym,6.14
763,4hbp,8.42
764,2zof,8.15
765,3h23,4.71
766,3vo3,8.85
767,1ik4,7.41
768,4xy9,5.33
769,4umr,3.8
770,4dhs,4.8
771,4qw1,6.11
772,4wvl,6.88
773,2j47,5.41
774,3k0k,5.43
775,4wf6,6.3
776,3kvx,6.83
777,2ycs,8.87
778,4psh,8.89
779,3hnb,5.11
780,4z1k,8.33
781,3qs8,4.74
782,5bvo,8.3
783,4iaw,9.63
784,4awi,6.0
785,4b3u,5.33
786,4mr6,6.6
787,1bl7,7.72
788,1b6j,7.92
789,1qk3,5.15
790,3u6i,9.0
791,1e03,9.4
792,3u93,6.31
793,1c3b,7.57
794,4qem,7.8
795,2bza,2.8
796,3oe9,8.18
797,1njc,5.55
798,4wov,7.14
799,1elb,7.15
800,4zz2,8.04
801,2jdm,5.4
802,2pql,7.28
803,4dcs,5.1
804,2ltz,5.35
805,4n6z,7.8
806,4bg1,6.31
807,3pb9,6.58
808,1b11,7.39
809,2qpu,3.6
810,3chg,3.99
811,4hws,9.1
812,3jsw,7.18
813,4q0a,6.48
814,3piy,6.54
815,1nm6,10.05
816,3nim,4.75
817,4bfp,7.82
818,4nzb,4.17
819,2o64,6.47
820,2xp5,3.44
821,2pgl,3.59
822,4hs8,7.92
823,1oky,8.19
824,3m35,7.22
825,3ttp,9.12
826,223l,3.4
827,4huo,4.7
828,3dy6,6.9
829,3rxm,3.63
830,1lf9,12.0
831,3ujb,5.1
832,2ctc,3.89
833,4nie,7.7
834,1dzm,5.41
835,2z7r,9.52
836,3l3q,7.27
837,3pz2,6.14
838,4oru,3.68
839,2xpc,3.9
840,2qnn,7.15
841,4qvn,5.1
842,1jd5,6.62
843,1nnb,5.0
844,4cc6,6.64
845,2qi1,7.3
846,3pdc,7.49
847,4dcv,4.59
848,3jzc,8.53
849,3hqy,7.94
850,1tsm,6.0
851,4tyl,3.22
852,4cpy,6.31
853,1npz,7.89
854,1rej,8.3
855,1uze,8.9
856,3upf,6.7
857,4q1w,11.7
858,2wl0,7.8
859,4r5v,6.15
860,4unn,6.38
861,1g9s,3.61
862,3wiy,6.21
863,3tam,8.43
864,3tkz,5.92
865,2wd1,7.09
866,4wk2,6.94
867,3qem,7.22
868,1pun,7.28
869,4jh0,9.03
870,3wf9,6.25
871,4q83,4.19
872,1akr,9.09
873,4yp1,5.04
874,2zq2,6.56
875,4oq6,5.48
876,1utm,3.01
877,2ghg,8.82
878,2rcw,8.1
879,4ykj,4.43
880,3jzb,9.01
881,3fvk,8.82
882,3ly2,8.3
883,3wk7,3.9
884,4q08,6.3
885,3hll,8.24
886,3ma3,7.22
887,1o4m,1.4
888,4al4,6.89
889,4gql,9.59
890,4qiy,7.3
891,4b14,6.22
892,1zz2,5.22
893,3fl5,7.28
894,1yid,5.0
895,3qcl,5.4
896,4avj,7.44
897,1w80,4.54
898,4ppb,10.0
899,3qtw,6.19
900,4pum,6.73
901,2ylp,4.3
902,1w1p,2.3
903,4od0,9.04
904,4b81,4.92
905,3rxi,3.06
906,2oji,7.07
907,2jbj,9.7
908,2piy,7.7
909,4nw2,4.54
910,4cae,7.74
911,1bxq,7.38
912,4ggz,10.18
913,3k5k,7.64
914,1kpm,5.8
915,4d0x,8.1
916,4xu1,9.49
917,2nn1,5.82
918,3mdz,9.1
919,4tpp,8.59
920,3hp5,7.15
921,4od7,5.08
922,3gs6,6.59
923,4c35,6.25
924,4bhi,7.05
925,4xqu,6.07
926,3elc,2.69
927,4rra,4.87
928,1wvj,6.73
929,2pqb,7.2
930,2rr4,4.78
931,4bf1,8.62
932,1w84,4.46
933,3h5b,10.0
934,1hlk,5.0
935,1zd4,3.6
936,2w8j,2.96
937,1you,9.06
938,4lwc,6.72
939,3k5c,7.77
940,4hyi,8.52
941,1tog,3.22
942,5bvf,9.72
943,3gqz,2.17
944,4e5d,6.22
945,2oic,8.4
946,1utz,5.85
947,2qzr,7.26
948,3ndm,7.96
949,2vi5,3.96
950,4utr,6.15
951,2izx,9.4
952,3d1z,8.8
953,4y8x,8.43
954,2b1z,7.1
955,2e7f,6.1
956,188l,3.33
957,4iqu,6.24
958,2ien,9.0
959,4eqj,5.6
960,3sw9,5.38
961,4qvq,5.2
962,3el8,7.6
963,4ee0,8.63
964,1wxz,8.07
965,4cd5,6.71
966,1epp,7.16
967,4lv3,5.49
968,3jy0,8.3
969,4io4,4.61
970,4yzm,5.27
971,2xkc,5.59
972,3d1e,5.77
973,3rbm,6.57
974,4fp1,4.57
975,4rll,5.02
976,1qon,8.96
977,3bwf,9.7
978,1a4k,8.0
979,1xk9,6.85
980,4ucd,4.0
981,2xda,6.22
982,1ft7,5.18
983,3nu5,8.35
984,3cjf,8.2
985,1sdt,9.27
986,2j9h,3.39
987,3uw9,4.56
988,4iks,5.14
989,3pxy,5.23
990,4ytf,8.15
991,4mc2,8.19
992,1fj4,4.59
993,1zzz,5.14
994,2wyi,4.74
995,1pus,7.28
996,4elc,3.2
997,3vvy,4.84
998,4jrv,7.54
999,2y6c,5.0
1000,2i0g,9.72
1001,5all,5.57
1002,1xoe,7.39
1003,3njy,5.77
1004,2r3g,6.1
1005,3sz1,4.66
1006,4cc7,4.33
1007,4qsx,1.74
1008,1ilq,4.89
1009,2wxn,7.68
1010,2ay4,2.91
1011,4idn,5.24
1012,2vmc,2.94
1013,3dc3,8.31
1014,4qvy,5.09
1015,1df8,9.7
1016,1hty,1.4
1017,2xn6,8.8
1018,1jmq,4.4
1019,1uz4,3.4
1020,4jzb,6.47
1021,2j4q,4.46
1022,2ai7,6.4
1023,4bf6,8.35
1024,1qaw,5.12
1025,3nes,5.62
1026,5dl1,5.0
1027,1r1h,8.92
1028,4elb,8.3
1029,3su4,6.26
1030,4qll,3.38
1031,3vhu,7.31
1032,3v0l,5.52
1033,4b8o,8.4
1034,3m89,6.16
1035,1utn,3.49
1036,1ie9,10.19
1037,3s9e,5.13
1038,4o4k,3.7
1039,3btj,5.62
1040,4kxm,5.59
1041,4oya,6.44
1042,2x6f,4.59
1043,3fzc,5.39
1044,4joh,3.35
1045,1t29,6.05
1046,4ajk,3.11
1047,1b05,7.12
1048,1il9,3.4
1049,2e5y,5.85
1050,4b13,5.7
1051,3m53,5.31
1052,1s9t,6.82
1053,4nw7,6.63
1054,1h00,4.42
1055,4q4i,7.33
1056,2x3t,6.05
1057,4jr3,6.66
1058,3sm1,5.84
1059,3e12,5.99
1060,1ec0,8.49
1061,1g9b,5.3
1062,2p4i,8.0
1063,4zur,7.17
1064,1gnm,6.25
1065,1wbg,3.0
1066,4c2v,9.0
1067,3i73,5.49
1068,2o3p,5.96
1069,3zmm,9.14
1070,1bn3,9.89
1071,2kbs,5.0
1072,4bnt,3.86
1073,2f3r,6.3
1074,1k9s,6.52
1075,4w9o,7.77
1076,3v5p,8.96
1077,4nbk,3.87
1078,2vta,3.73
1079,5al1,4.28
1080,2jst,2.59
1081,4uvv,7.49
1082,1fw0,5.43
1083,3k1j,6.4
1084,4f0c,6.27
1085,1ljt,5.15
1086,3pz1,6.14
1087,1apv,9.0
1088,5dia,10.46
1089,3fa3,5.6
1090,1o33,5.74
1091,1w4p,4.74
1092,5abp,6.64
1093,2fle,7.85
1094,2poq,4.42
1095,4x1f,7.97
1096,2zx6,10.6
1097,4cd0,9.7
1098,2waj,6.4
1099,3aho,7.05
1100,2y5l,6.48
1101,2xgm,3.0
1102,4mrg,2.96
1103,1srg,5.3
1104,2jkp,4.23
1105,3gxz,7.89
1106,2oq6,3.6
1107,3a1t,4.83
1108,3fkv,7.57
1109,4dko,6.52
1110,2aoc,4.89
1111,2zx8,9.64
1112,3tll,4.39
1113,4ie7,5.05
1114,1qbu,10.24
1115,3t0d,2.37
1116,1vik,9.52
1117,1sre,3.85
1118,3n49,5.15
1119,3pb8,5.24
1120,4x3u,5.09
1121,2lnw,5.85
1122,3wke,8.89
1123,1o0m,5.15
1124,1c1u,8.25
1125,2ay5,2.59
1126,1eoj,13.77
1127,3h22,5.1
1128,2wed,6.1
1129,3tv5,5.32
1130,4l0s,6.84
1131,1gt5,6.1
1132,1zp5,2.92
1133,4i1r,4.65
1134,3sb0,5.26
1135,4qvl,6.53
1136,2rt5,6.72
1137,4mpn,6.62
1138,1obx,5.72
1139,3zh8,6.47
1140,3s3r,8.68
1141,4fiv,6.52
1142,4oz2,3.0
1143,4awm,5.72
1144,4lh6,4.11
1145,4aj4,3.89
1146,3rv7,4.85
1147,1wuq,8.27
1148,4d2d,3.47
1149,4q4q,5.79
1150,4tki,6.38
1151,1ceb,6.0
1152,1db1,9.26
1153,2mpm,5.89
1154,4alx,7.28
1155,2yex,10.0
1156,5d9p,3.2
1157,4e90,8.1
1158,3il6,6.57
1159,4kip,8.15
1160,4i9s,6.79
1161,1ung,6.8
1162,3lp4,4.88
1163,3kce,4.8
1164,3lfs,5.6
1165,3vfb,9.04
1166,3fuh,2.7
1167,4mvh,8.35
1168,1b51,7.37
1169,4e3k,9.1
1170,3bkk,6.08
1171,4dru,8.62
1172,3wtl,7.04
1173,1h3c,6.51
1174,1zfq,7.52
1175,4a2a,4.35
1176,3jqf,4.46
1177,1bqn,6.22
1178,5alf,6.69
1179,2aq9,7.3
1180,4ozl,4.97
1181,1w2x,5.14
1182,4dhl,4.48
1183,1mrs,3.96
1184,3b7i,5.82
1185,1ttm,7.35
1186,3ip5,6.22
1187,3o95,8.28
1188,1bzs,8.0
1189,3kdu,6.46
1190,2nw4,8.68
1191,3r8u,5.3
1192,3rdo,9.85
1193,1db4,7.24
1194,2rl5,8.4
1195,4urm,8.05
1196,2ria,2.57
1197,3zo1,6.0
1198,4gly,5.11
1199,2w9r,5.32
1200,2w17,8.7
1201,3qs5,4.71
1202,2xp6,4.7
1203,2qi3,10.2
1204,4igk,4.55
1205,2ym5,6.37
1206,3rv8,4.92
1207,2za0,6.64
1208,1iup,2.54
1209,3wyj,6.44
1210,3rm8,6.15
1211,4dcx,4.5
1212,4zzd,6.6
1213,2w68,4.74
1214,4ymx,7.1
1215,3f9n,5.89
1216,5c4t,7.66
1217,1zrz,5.24
1218,2e9d,5.89
1219,2jds,8.2
1220,2vtd,4.07
1221,2qnx,5.62
1222,1y20,5.32
1223,2qyk,5.48
1224,1hih,8.05
1225,4qy3,6.82
1226,4aa5,7.8
1227,1pi4,7.43
1228,4pnu,4.89
1229,2uzj,4.57
1230,3qcs,6.5
1231,3i6c,4.92
1232,3agl,7.8
1233,4kju,8.22
1234,1cnx,7.37
1235,3ft4,5.93
1236,4qr3,5.85
1237,4bo2,7.3
1238,5abf,4.85
1239,4lkq,3.35
1240,1o2g,6.12
1241,3rx5,6.27
1242,1ebw,9.05
1243,4no1,7.57
1244,4yz5,2.83
1245,2xuz,7.4
1246,2aac,2.22
1247,3kqy,4.82
1248,4pb2,4.8
1249,2h5a,5.1
1250,2ydf,7.66
1251,4msn,4.03
1252,3vhv,6.29
1253,2dwx,3.74
1254,1nyx,7.04
1255,1rhu,8.52
1256,3ijz,5.22
1257,4jym,5.04
1258,1lyx,4.54
1259,1p93,7.72
1260,2gh7,13.0
1261,5ct2,2.92
1262,1g3f,6.37
1263,4q0k,4.87
1264,4n70,12.0
1265,4qfn,4.12
1266,3ral,7.0
1267,2d1n,8.15
1268,3iqu,4.77
1269,3u8d,6.33
1270,4ymq,5.8
1271,1gsz,7.21
1272,1sbg,7.74
1273,1vjc,3.58
1274,3ml5,8.52
1275,4k5z,3.0
1276,3ohi,4.85
1277,3f0r,6.89
1278,4gu6,7.36
1279,1iau,7.1
